labels	start	stop
speech	0.0	14.52
noise	14.52	17.96
speech	17.96	20.98
noise	20.98	28.8
speech	28.8	40.84
noise	40.84	45.74
speech	45.74	47.28
noise	47.28	51.800000000000004
speech	51.800000000000004	52.72
noise	52.72	67.48
speech	67.48	72.88
noise	72.88	81.48
speech	81.48	84.38
noise	84.38	97.86
speech	97.86	104.56
noise	104.56	115.48
speech	115.48	118.22
noise	118.22	120.48
speech	120.48	124.26
noise	124.26	131.68
speech	131.68	137.84
noise	137.84	147.96
speech	147.96	155.44
noise	155.44	161.18
speech	161.18	168.44
noise	168.44	181.9
speech	181.9	195.26
noise	195.26	208.26
speech	208.26	220.56
noise	220.56	226.74
speech	226.74	230.02
noise	230.02	234.76
speech	234.76	236.16
noise	236.16	241.06
speech	241.06	249.08
noise	249.08	251.46
speech	251.46	255.12
noise	255.12	267.2
speech	267.2	273.54
noise	273.54	281.40000000000003
speech	281.40000000000003	283.66
noise	283.66	289.28000000000003
speech	289.28000000000003	293.54
noise	293.54	297.3
speech	297.3	303.96
noise	303.96	307.90000000000003
speech	307.90000000000003	310.54
noise	310.54	324.34000000000003
speech	324.34000000000003	327.64
