labels	start	stop
noise	0.0	8.28
speech	8.28	11.56
noise	11.56	22.580000000000002
speech	22.580000000000002	31.86
noise	31.86	37.58
speech	37.58	41.800000000000004
noise	41.800000000000004	48.82
speech	48.82	54.620000000000005
noise	54.620000000000005	58.0
speech	58.0	59.4
noise	59.4	162.4
speech	162.4	168.88
noise	168.88	397.06
speech	397.06	400.72
noise	400.72	418.7
speech	418.7	425.94
noise	425.94	434.84000000000003
speech	434.84000000000003	436.58
noise	436.58	445.7
speech	445.7	463.42
noise	463.42	468.02
speech	468.02	475.78000000000003
noise	475.78000000000003	522.12
speech	522.12	523.62
noise	523.62	534.84
speech	534.84	546.74
noise	546.74	565.7
speech	565.7	600.76
noise	600.76	604.48
speech	604.48	618.9
noise	618.9	621.26
speech	621.26	629.22
noise	629.22	631.7
speech	631.7	639.46
noise	639.46	645.74
speech	645.74	648.46
noise	648.46	664.52
speech	664.52	667.16
noise	667.16	708.04
speech	708.04	710.44
noise	710.44	770.88
speech	770.88	777.44
noise	777.44	784.32
speech	784.32	797.5600000000001
noise	797.5600000000001	816.2
speech	816.2	818.48
noise	818.48	850.3000000000001
speech	850.3000000000001	864.64
noise	864.64	928.02
speech	928.02	930.0
noise	930.0	934.22
speech	934.22	946.78
noise	946.78	961.58
speech	961.58	964.16
noise	964.16	973.7
speech	973.7	976.74
noise	976.74	987.46
speech	987.46	998.02
noise	998.02	1012.86
speech	1012.86	1048.66
noise	1048.66	1060.8600000000001
speech	1060.8600000000001	1064.04
noise	1064.04	1078.2
speech	1078.2	1081.3
noise	1081.3	1095.02
speech	1095.02	1096.26
noise	1096.26	1104.16
speech	1104.16	1112.6000000000001
noise	1112.6000000000001	1150.46
speech	1150.46	1156.94
noise	1156.94	1322.08
speech	1322.08	1323.24
noise	1323.24	1354.48
speech	1354.48	1356.18
noise	1356.18	1371.66
speech	1371.66	1374.8
noise	1374.8	1376.66
