labels	start	stop
speech	0.0	21.14
noise	21.14	29.96
speech	29.96	40.480000000000004
noise	40.480000000000004	48.84
speech	48.84	55.38
noise	55.38	60.54
speech	60.54	63.52
noise	63.52	66.82000000000001
speech	66.82000000000001	84.96000000000001
noise	84.96000000000001	88.34
speech	88.34	92.78
noise	92.78	95.5
speech	95.5	101.32000000000001
noise	101.32000000000001	103.5
speech	103.5	108.2
noise	108.2	120.66
speech	120.66	121.86
noise	121.86	152.02
speech	152.02	153.5
noise	153.5	169.98
speech	169.98	171.76
noise	171.76	193.5
speech	193.5	197.96
noise	197.96	210.84
speech	210.84	212.64000000000001
noise	212.64000000000001	216.32
speech	216.32	223.82
noise	223.82	231.14000000000001
speech	231.14000000000001	277.28000000000003
noise	277.28000000000003	288.02
speech	288.02	302.44
noise	302.44	311.18
speech	311.18	313.36
noise	313.36	326.04
speech	326.04	334.3
noise	334.3	338.28000000000003
speech	338.28000000000003	343.84000000000003
noise	343.84000000000003	354.44
speech	354.44	357.08
noise	357.08	366.28000000000003
speech	366.28000000000003	369.66
noise	369.66	393.6
speech	393.6	394.6
noise	394.6	399.12
speech	399.12	401.88
noise	401.88	404.44
speech	404.44	406.7
noise	406.7	409.24
speech	409.24	411.68
noise	411.68	414.3
speech	414.3	417.1
noise	417.1	420.3
speech	420.3	425.48
noise	425.48	427.96000000000004
speech	427.96000000000004	434.56
noise	434.56	445.2
speech	445.2	446.3
noise	446.3	460.0
speech	460.0	461.52
noise	461.52	474.76
speech	474.76	476.88
noise	476.88	488.94
speech	488.94	490.52
noise	490.52	502.3
speech	502.3	505.7
noise	505.7	518.72
speech	518.72	521.46
noise	521.46	537.6
speech	537.6	541.16
noise	541.16	550.32
speech	550.32	551.44
noise	551.44	560.4
speech	560.4	563.64
noise	563.64	587.78
speech	587.78	597.36
noise	597.36	600.94
speech	600.94	605.98
noise	605.98	668.22
speech	668.22	671.12
noise	671.12	718.16
speech	718.16	719.48
noise	719.48	745.46
speech	745.46	746.72
noise	746.72	756.44
speech	756.44	773.14
noise	773.14	781.5600000000001
speech	781.5600000000001	793.76
noise	793.76	800.86
speech	800.86	811.2
noise	811.2	827.32
speech	827.32	838.4200000000001
