labels	start	stop
noise	0.0	17.44
speech	17.44	20.68
noise	20.68	26.64
speech	26.64	34.7
noise	34.7	157.3
speech	157.3	160.84
noise	160.84	165.16
speech	165.16	168.94
noise	168.94	172.14000000000001
speech	172.14000000000001	174.3
noise	174.3	191.62
speech	191.62	193.38
noise	193.38	222.34
speech	222.34	225.94
noise	225.94	232.1
speech	232.1	234.36
noise	234.36	242.28
speech	242.28	243.54
noise	243.54	256.86
speech	256.86	262.22
noise	262.22	266.68
speech	266.68	269.1
noise	269.1	286.40000000000003
speech	286.40000000000003	287.84000000000003
noise	287.84000000000003	305.18
speech	305.18	306.84000000000003
noise	306.84000000000003	312.38
speech	312.38	313.74
noise	313.74	331.92
