labels	start	stop
noise	0.0	17.7
speech	17.7	20.92
noise	20.92	26.1
speech	26.1	27.3
noise	27.3	67.24
speech	67.24	72.08
noise	72.08	86.18
speech	86.18	87.7
noise	87.7	93.32000000000001
speech	93.32000000000001	116.0
noise	116.0	118.10000000000001
speech	118.10000000000001	129.08
noise	129.08	155.32
speech	155.32	170.5
noise	170.5	178.98
speech	178.98	181.70000000000002
noise	181.70000000000002	223.4
speech	223.4	228.08
noise	228.08	230.34
speech	230.34	234.84
noise	234.84	236.62
speech	236.62	238.96
noise	238.96	245.20000000000002
speech	245.20000000000002	246.5
noise	246.5	259.44
speech	259.44	261.9
noise	261.9	265.66
speech	265.66	267.16
noise	267.16	282.04
speech	282.04	303.8
noise	303.8	306.90000000000003
speech	306.90000000000003	310.2
noise	310.2	314.78000000000003
speech	314.78000000000003	321.2
noise	321.2	323.3
speech	323.3	351.36
noise	351.36	366.82
speech	366.82	367.74
noise	367.74	377.08
speech	377.08	380.16
noise	380.16	392.72
speech	392.72	394.18
noise	394.18	400.18
speech	400.18	408.2
noise	408.2	423.90000000000003
speech	423.90000000000003	435.90000000000003
noise	435.90000000000003	461.66
speech	461.66	469.42
noise	469.42	572.76
speech	572.76	575.3000000000001
noise	575.3000000000001	636.0
speech	636.0	637.32
noise	637.32	640.2
speech	640.2	651.74
noise	651.74	669.84
speech	669.84	702.24
noise	702.24	704.4
speech	704.4	706.14
noise	706.14	711.78
speech	711.78	748.44
noise	748.44	750.1
speech	750.1	752.52
noise	752.52	755.42
speech	755.42	756.46
noise	756.46	758.5600000000001
speech	758.5600000000001	761.98
noise	761.98	806.5
speech	806.5	808.88
noise	808.88	824.48
speech	824.48	825.74
noise	825.74	833.9200000000001
speech	833.9200000000001	848.9200000000001
noise	848.9200000000001	866.76
speech	866.76	868.62
noise	868.62	870.16
speech	870.16	873.1800000000001
noise	873.1800000000001	893.14
speech	893.14	900.04
noise	900.04	907.88
speech	907.88	909.8000000000001
noise	909.8000000000001	927.1
speech	927.1	934.3000000000001
noise	934.3000000000001	945.86
speech	945.86	949.5
noise	949.5	950.98
speech	950.98	959.52
noise	959.52	961.64
speech	961.64	963.14
noise	963.14	972.9
speech	972.9	974.6
noise	974.6	983.74
speech	983.74	985.1
noise	985.1	1006.38
speech	1006.38	1007.9200000000001
noise	1007.9200000000001	1050.16
speech	1050.16	1052.38
noise	1052.38	1141.0
speech	1141.0	1143.4
noise	1143.4	1150.46
speech	1150.46	1152.78
noise	1152.78	1159.92
speech	1159.92	1170.3
noise	1170.3	1172.28
speech	1172.28	1178.26
noise	1178.26	1179.8600000000001
speech	1179.8600000000001	1183.6200000000001
noise	1183.6200000000001	1188.7
speech	1188.7	1193.82
noise	1193.82	1199.04
speech	1199.04	1203.66
noise	1203.66	1206.04
speech	1206.04	1216.84
noise	1216.84	1219.72
speech	1219.72	1221.26
noise	1221.26	1223.14
speech	1223.14	1224.3
noise	1224.3	1225.72
speech	1225.72	1235.94
noise	1235.94	1241.88
speech	1241.88	1244.32
noise	1244.32	1247.78
speech	1247.78	1250.32
noise	1250.32	1258.22
speech	1258.22	1262.96
noise	1262.96	1264.34
speech	1264.34	1271.16
noise	1271.16	1274.3600000000001
speech	1274.3600000000001	1275.44
noise	1275.44	1317.9
speech	1317.9	1319.34
noise	1319.34	1325.18
speech	1325.18	1328.18
noise	1328.18	1331.44
speech	1331.44	1332.3600000000001
noise	1332.3600000000001	1349.84
speech	1349.84	1350.78
noise	1350.78	1369.02
speech	1369.02	1370.42
noise	1370.42	1376.66
