labels	start	stop
noise	0.0	9.26
speech	9.26	11.040000000000001
noise	11.040000000000001	17.26
speech	17.26	23.04
noise	23.04	24.740000000000002
speech	24.740000000000002	47.84
noise	47.84	56.26
speech	56.26	70.8
noise	70.8	74.60000000000001
speech	74.60000000000001	79.2
noise	79.2	83.7
speech	83.7	89.9
noise	89.9	96.24000000000001
speech	96.24000000000001	99.9
noise	99.9	104.58
speech	104.58	109.46000000000001
noise	109.46000000000001	120.78
speech	120.78	122.32000000000001
noise	122.32000000000001	143.94
speech	143.94	145.84
noise	145.84	169.28
speech	169.28	176.34
noise	176.34	180.78
speech	180.78	182.96
noise	182.96	228.42000000000002
speech	228.42000000000002	229.82
noise	229.82	279.46
speech	279.46	295.48
noise	295.48	298.38
speech	298.38	337.12
noise	337.12	353.48
speech	353.48	356.38
noise	356.38	365.64
speech	365.64	367.06
noise	367.06	379.44
speech	379.44	384.58
noise	384.58	387.1
speech	387.1	398.3
noise	398.3	401.74
speech	401.74	419.1
noise	419.1	424.84000000000003
speech	424.84000000000003	472.78000000000003
noise	472.78000000000003	476.92
speech	476.92	484.14
noise	484.14	488.8
speech	488.8	504.76
noise	504.76	514.84
speech	514.84	516.66
noise	516.66	524.6800000000001
speech	524.6800000000001	530.86
noise	530.86	533.52
speech	533.52	539.6800000000001
noise	539.6800000000001	547.44
speech	547.44	548.72
noise	548.72	561.44
speech	561.44	566.26
noise	566.26	572.1
speech	572.1	575.36
noise	575.36	585.22
speech	585.22	588.9
noise	588.9	602.28
speech	602.28	611.94
noise	611.94	614.26
speech	614.26	639.2
noise	639.2	649.1800000000001
speech	649.1800000000001	652.1
noise	652.1	670.38
speech	670.38	671.88
noise	671.88	679.08
speech	679.08	682.28
noise	682.28	688.82
speech	688.82	690.0600000000001
noise	690.0600000000001	727.6
speech	727.6	732.5600000000001
noise	732.5600000000001	743.46
speech	743.46	748.52
noise	748.52	751.44
speech	751.44	754.1800000000001
noise	754.1800000000001	800.72
speech	800.72	802.1800000000001
noise	802.1800000000001	804.78
speech	804.78	805.96
noise	805.96	828.1
speech	828.1	830.26
noise	830.26	837.62
speech	837.62	838.4200000000001
