labels	start	stop
noEnergy	0.0	0.2
noise	0.2	2.62
noEnergy	2.62	3.6
noise	3.6	19.86
speech	19.86	24.560000000000002
noEnergy	24.560000000000002	25.72
speech	25.72	29.02
noEnergy	29.02	30.22
speech	30.22	33.62
noEnergy	33.62	34.12
noise	34.12	70.72
noEnergy	70.72	71.24
noise	71.24	78.82000000000001
speech	78.82000000000001	80.42
noEnergy	80.42	80.82000000000001
music	80.82000000000001	84.26
noEnergy	84.26	84.7
music	84.7	87.02
noEnergy	87.02	87.56
music	87.56	88.54
noEnergy	88.54	89.08
speech	89.08	90.16
noEnergy	90.16	91.58
speech	91.58	91.94
noEnergy	91.94	95.4
noise	95.4	98.64
noEnergy	98.64	103.4
noise	103.4	112.12
noEnergy	112.12	112.58
noise	112.58	166.5
speech	166.5	169.66
noEnergy	169.66	170.72
noise	170.72	190.92000000000002
noEnergy	190.92000000000002	191.44
noise	191.44	196.4
noEnergy	196.4	196.82
speech	196.82	197.94
noEnergy	197.94	198.34
noise	198.34	232.14000000000001
noEnergy	232.14000000000001	232.6
noise	232.6	236.96
noEnergy	236.96	237.4
speech	237.4	242.84
noise	242.84	254.88
noEnergy	254.88	255.28
noise	255.28	283.44
noEnergy	283.44	284.14
noise	284.14	293.54
speech	293.54	298.84000000000003
noEnergy	298.84000000000003	300.38
speech	300.38	328.76
noEnergy	328.76	329.42
noise	329.42	331.42
noEnergy	331.42	332.08
noise	332.08	338.98
noEnergy	338.98	339.46
speech	339.46	342.76
noEnergy	342.76	343.92
speech	343.92	344.56
noEnergy	344.56	345.22
speech	345.22	346.54
noEnergy	346.54	347.24
speech	347.24	347.54
noEnergy	347.54	348.3
speech	348.3	348.78000000000003
noEnergy	348.78000000000003	350.02
noise	350.02	353.66
noEnergy	353.66	354.38
speech	354.38	359.46
noEnergy	359.46	360.38
speech	360.38	361.62
noEnergy	361.62	362.5
speech	362.5	363.66
noEnergy	363.66	364.24
noise	364.24	369.46
noEnergy	369.46	369.88
speech	369.88	370.22
noEnergy	370.22	372.54
noise	372.54	376.8
noEnergy	376.8	377.56
noise	377.56	384.24
speech	384.24	387.90000000000003
noEnergy	387.90000000000003	388.38
speech	388.38	388.88
noEnergy	388.88	389.68
speech	389.68	393.6
noise	393.6	398.36
noEnergy	398.36	399.28000000000003
speech	399.28000000000003	399.64
noEnergy	399.64	400.48
noise	400.48	426.66
noEnergy	426.66	427.6
speech	427.6	427.92
noEnergy	427.92	428.8
speech	428.8	447.24
noEnergy	447.24	447.82
noise	447.82	451.1
noEnergy	451.1	451.74
noise	451.74	456.02
noEnergy	456.02	456.90000000000003
speech	456.90000000000003	457.38
noEnergy	457.38	459.06
noise	459.06	463.3
noEnergy	463.3	464.24
noise	464.24	473.12
speech	473.12	484.36
noEnergy	484.36	485.7
noise	485.7	488.88
noEnergy	488.88	489.58
speech	489.58	504.16
noEnergy	504.16	504.76
speech	504.76	510.76
noEnergy	510.76	512.6
speech	512.6	516.08
noEnergy	516.08	516.66
noise	516.66	522.24
noEnergy	522.24	523.54
speech	523.54	537.54
noEnergy	537.54	539.26
speech	539.26	543.86
noise	543.86	547.52
noEnergy	547.52	548.4
speech	548.4	562.9
noEnergy	562.9	563.48
speech	563.48	564.1800000000001
noEnergy	564.1800000000001	565.22
speech	565.22	566.52
noEnergy	566.52	567.02
speech	567.02	567.72
noEnergy	567.72	568.22
speech	568.22	569.1800000000001
noEnergy	569.1800000000001	569.58
noise	569.58	574.9
noEnergy	574.9	575.84
speech	575.84	576.52
noEnergy	576.52	577.24
speech	577.24	578.5
noEnergy	578.5	579.1
speech	579.1	584.38
noEnergy	584.38	586.6800000000001
speech	586.6800000000001	587.34
noEnergy	587.34	587.76
noise	587.76	590.7
noEnergy	590.7	591.3000000000001
noise	591.3000000000001	592.78
noEnergy	592.78	593.46
noise	593.46	594.52
noEnergy	594.52	595.44
speech	595.44	598.04
noEnergy	598.04	598.44
speech	598.44	615.5
noEnergy	615.5	617.28
noise	617.28	618.76
noEnergy	618.76	619.6
speech	619.6	627.76
noEnergy	627.76	628.82
noise	628.82	630.96
noEnergy	630.96	631.64
noise	631.64	633.88
noEnergy	633.88	635.08
