labels	start	stop
noise	0.0	31.86
speech	31.86	46.0
noise	46.0	93.68
speech	93.68	171.34
noise	171.34	177.18
speech	177.18	230.62
noise	230.62	240.56
speech	240.56	257.34000000000003
noise	257.34000000000003	287.90000000000003
speech	287.90000000000003	302.16
noEnergy	302.16	310.8
speech	310.8	313.18
noEnergy	313.18	314.32
speech	314.32	314.84000000000003
noEnergy	314.84000000000003	316.44
speech	316.44	319.96
noise	319.96	324.5
speech	324.5	327.22
noise	327.22	330.84000000000003
speech	330.84000000000003	342.2
noise	342.2	344.78000000000003
speech	344.78000000000003	353.06
noEnergy	353.06	355.36
speech	355.36	360.82
noEnergy	360.82	361.78000000000003
speech	361.78000000000003	365.42
noEnergy	365.42	367.16
speech	367.16	367.94
noEnergy	367.94	370.98
speech	370.98	385.82
noise	385.82	394.88
speech	394.88	400.24
noise	400.24	414.06
speech	414.06	422.38
noise	422.38	427.22
speech	427.22	433.84000000000003
noise	433.84000000000003	457.14
speech	457.14	495.68
noise	495.68	497.16
noEnergy	497.16	498.0
speech	498.0	512.92
noise	512.92	521.98
speech	521.98	538.78
noEnergy	538.78	539.32
speech	539.32	562.08
noise	562.08	567.08
speech	567.08	576.7
noEnergy	576.7	577.58
speech	577.58	599.78
noEnergy	599.78	602.38
noise	602.38	602.66
noEnergy	602.66	608.88
speech	608.88	609.32
noEnergy	609.32	612.54
speech	612.54	613.7
noEnergy	613.7	614.5
speech	614.5	621.02
noise	621.02	628.64
speech	628.64	649.96
noise	649.96	652.52
speech	652.52	671.28
noise	671.28	680.16
speech	680.16	727.98
noise	727.98	730.54
speech	730.54	744.04
noise	744.04	748.94
speech	748.94	784.64
noise	784.64	792.5600000000001
speech	792.5600000000001	832.08
noise	832.08	838.4200000000001
