labels	start	stop
noise	0.0	34.54
speech	34.54	38.96
noise	38.96	75.68
speech	75.68	101.06
noise	101.06	214.04
speech	214.04	214.96
noise	214.96	218.20000000000002
speech	218.20000000000002	222.78
noise	222.78	237.62
speech	237.62	238.66
noise	238.66	245.88
speech	245.88	300.08
noise	300.08	307.88
speech	307.88	312.56
noise	312.56	319.32
speech	319.32	320.46
noise	320.46	332.06
speech	332.06	336.02
noise	336.02	441.48
speech	441.48	442.62
noise	442.62	461.3
speech	461.3	473.36
noise	473.36	516.02
speech	516.02	574.2
noise	574.2	593.7
speech	593.7	596.92
noise	596.92	610.5600000000001
speech	610.5600000000001	611.4
noise	611.4	617.9
speech	617.9	619.48
noise	619.48	630.8000000000001
speech	630.8000000000001	632.0600000000001
noise	632.0600000000001	655.0
speech	655.0	655.86
noise	655.86	659.78
speech	659.78	663.62
noise	663.62	707.6800000000001
speech	707.6800000000001	754.0
noise	754.0	761.66
speech	761.66	762.58
noise	762.58	764.62
speech	764.62	766.16
noise	766.16	771.12
speech	771.12	774.5
noise	774.5	796.72
speech	796.72	802.3000000000001
noise	802.3000000000001	859.24
speech	859.24	860.14
noise	860.14	864.7
