labels	start	stop
noise	0.0	36.52
speech	36.52	37.26
noise	37.26	39.1
speech	39.1	40.94
noise	40.94	77.68
speech	77.68	103.06
noise	103.06	216.04
speech	216.04	216.94
noise	216.94	220.18
speech	220.18	224.74
noise	224.74	239.6
speech	239.6	240.64000000000001
noise	240.64000000000001	247.86
speech	247.86	302.08
noise	302.08	310.0
speech	310.0	314.56
noise	314.56	321.3
speech	321.3	322.44
noise	322.44	334.04
speech	334.04	337.98
noise	337.98	443.46000000000004
speech	443.46000000000004	444.6
noise	444.6	463.38
speech	463.38	475.36
noise	475.36	518.02
speech	518.02	576.1800000000001
noise	576.1800000000001	595.6800000000001
speech	595.6800000000001	598.88
noise	598.88	612.54
speech	612.54	613.38
noise	613.38	619.88
speech	619.88	621.44
noise	621.44	632.78
speech	632.78	634.0600000000001
noise	634.0600000000001	657.0
speech	657.0	657.82
noise	657.82	661.76
speech	661.76	665.6
noise	665.6	709.66
speech	709.66	755.98
noise	755.98	763.6800000000001
speech	763.6800000000001	764.58
noise	764.58	766.5600000000001
speech	766.5600000000001	768.14
noise	768.14	773.12
speech	773.12	776.44
noise	776.44	798.7
speech	798.7	804.28
noise	804.28	861.22
speech	861.22	862.16
noise	862.16	866.78
