labels	start	stop
noEnergy	0.0	0.36
noise	0.36	1.7
noEnergy	1.7	2.94
speech	2.94	4.96
noise	4.96	5.8
noEnergy	5.8	12.22
noise	12.22	12.68
noEnergy	12.68	16.72
noise	16.72	17.2
noEnergy	17.2	20.1
speech	20.1	24.2
noise	24.2	27.92
speech	27.92	32.56
noEnergy	32.56	33.9
speech	33.9	36.980000000000004
noEnergy	36.980000000000004	41.62
speech	41.62	45.82
noEnergy	45.82	46.88
noise	46.88	47.2
noEnergy	47.2	52.54
noise	52.54	53.34
noEnergy	53.34	65.84
noise	65.84	66.16
noEnergy	66.16	71.42
noise	71.42	73.38
noEnergy	73.38	84.42
speech	84.42	85.58
noise	85.58	87.42
noEnergy	87.42	90.18
speech	90.18	92.04
noEnergy	92.04	93.52
noise	93.52	94.16
noEnergy	94.16	99.10000000000001
speech	99.10000000000001	100.76
noEnergy	100.76	111.84
speech	111.84	114.44
noise	114.44	115.60000000000001
noEnergy	115.60000000000001	122.66
speech	122.66	123.0
noEnergy	123.0	123.5
speech	123.5	126.9
noEnergy	126.9	128.28
speech	128.28	129.82
noEnergy	129.82	138.62
noise	138.62	140.96
noEnergy	140.96	161.32
speech	161.32	164.04
noEnergy	164.04	176.02
noise	176.02	177.52
noEnergy	177.52	181.14000000000001
noise	181.14000000000001	182.24
noEnergy	182.24	188.72
noise	188.72	189.8
noEnergy	189.8	204.66
noise	204.66	207.14000000000001
speech	207.14000000000001	207.98000000000002
noEnergy	207.98000000000002	222.24
noise	222.24	223.36
noEnergy	223.36	227.56
speech	227.56	229.62
noEnergy	229.62	238.82
noise	238.82	240.16
noEnergy	240.16	257.68
noise	257.68	258.64
noEnergy	258.64	262.36
noise	262.36	263.7
noEnergy	263.7	268.34000000000003
noise	268.34000000000003	269.74
noEnergy	269.74	272.76
noise	272.76	273.54
noEnergy	273.54	274.96
noise	274.96	276.46
noEnergy	276.46	280.18
noise	280.18	283.22
noEnergy	283.22	286.66
noise	286.66	287.2
noEnergy	287.2	287.68
speech	287.68	292.24
noise	292.24	293.88
noEnergy	293.88	297.02
noise	297.02	298.52
noEnergy	298.52	302.74
noise	302.74	304.04
noEnergy	304.04	319.58
noise	319.58	320.24
noEnergy	320.24	328.42
noise	328.42	329.58
noEnergy	329.58	343.26
noise	343.26	344.52
noEnergy	344.52	352.68
speech	352.68	353.64
noEnergy	353.64	358.84000000000003
speech	358.84000000000003	361.28000000000003
noEnergy	361.28000000000003	370.86
speech	370.86	378.62
noise	378.62	380.12
noEnergy	380.12	386.32
speech	386.32	386.58
noEnergy	386.58	390.18
noise	390.18	391.46000000000004
noEnergy	391.46000000000004	394.66
speech	394.66	395.64
noEnergy	395.64	397.64
noise	397.64	399.06
noEnergy	399.06	448.90000000000003
