labels	start	stop
noise	0.0	19.7
speech	19.7	21.82
noise	21.82	32.94
speech	32.94	36.9
noise	36.9	42.34
speech	42.34	43.46
noise	43.46	53.44
speech	53.44	57.72
noise	57.72	65.9
speech	65.9	69.48
noise	69.48	74.32000000000001
speech	74.32000000000001	77.52
noise	77.52	82.22
speech	82.22	83.60000000000001
noise	83.60000000000001	92.72
speech	92.72	96.12
noise	96.12	98.36
speech	98.36	105.04
noise	105.04	107.94
speech	107.94	111.88
noise	111.88	113.7
speech	113.7	120.22
noise	120.22	151.94
speech	151.94	153.68
noise	153.68	161.5
speech	161.5	171.84
noise	171.84	175.44
speech	175.44	177.54
noise	177.54	183.1
speech	183.1	186.16
noise	186.16	193.42000000000002
speech	193.42000000000002	195.70000000000002
noise	195.70000000000002	204.92000000000002
speech	204.92000000000002	210.02
noise	210.02	214.36
speech	214.36	223.06
noise	223.06	229.78
speech	229.78	232.20000000000002
noise	232.20000000000002	239.52
speech	239.52	248.0
noise	248.0	288.14
speech	288.14	289.7
noise	289.7	291.2
speech	291.2	294.18
noise	294.18	302.3
speech	302.3	307.1
noise	307.1	329.34000000000003
speech	329.34000000000003	330.66
noise	330.66	373.38
speech	373.38	375.72
noise	375.72	382.2
speech	382.2	386.42
noise	386.42	392.1
speech	392.1	396.92
noise	396.92	405.34000000000003
speech	405.34000000000003	407.28000000000003
noise	407.28000000000003	413.34000000000003
speech	413.34000000000003	414.3
noise	414.3	429.98
speech	429.98	437.76
noise	437.76	439.06
