labels	start	stop
noise	0.0	0.5
noEnergy	0.5	7.140000000000001
speech	7.140000000000001	7.640000000000001
noEnergy	7.640000000000001	8.98
speech	8.98	11.200000000000001
noEnergy	11.200000000000001	12.280000000000001
speech	12.280000000000001	13.82
noEnergy	13.82	14.5
speech	14.5	16.92
noEnergy	16.92	19.48
speech	19.48	24.16
noEnergy	24.16	24.72
noise	24.72	26.1
noEnergy	26.1	32.62
speech	32.62	34.26
noEnergy	34.26	37.62
speech	37.62	40.88
noise	40.88	42.18
noEnergy	42.18	46.08
noise	46.08	46.44
noEnergy	46.44	47.04
speech	47.04	48.4
noEnergy	48.4	48.800000000000004
speech	48.800000000000004	53.980000000000004
noEnergy	53.980000000000004	55.6
noise	55.6	56.02
noEnergy	56.02	56.76
speech	56.76	61.120000000000005
noEnergy	61.120000000000005	62.660000000000004
speech	62.660000000000004	65.64
noEnergy	65.64	68.06
noise	68.06	68.46000000000001
noEnergy	68.46000000000001	70.22
speech	70.22	71.5
noEnergy	71.5	73.4
speech	73.4	83.0
noEnergy	83.0	85.60000000000001
speech	85.60000000000001	87.82000000000001
noEnergy	87.82000000000001	88.82000000000001
speech	88.82000000000001	90.02
noEnergy	90.02	91.48
speech	91.48	92.74
noEnergy	92.74	95.0
speech	95.0	98.72
noEnergy	98.72	100.18
noise	100.18	100.54
noEnergy	100.54	102.78
speech	102.78	107.5
noEnergy	107.5	111.44
speech	111.44	112.52
noEnergy	112.52	122.96000000000001
speech	122.96000000000001	123.94
noEnergy	123.94	125.38000000000001
speech	125.38000000000001	134.42000000000002
noEnergy	134.42000000000002	138.96
noise	138.96	140.26
noEnergy	140.26	140.68
speech	140.68	142.52
noEnergy	142.52	145.26
speech	145.26	149.1
noEnergy	149.1	150.8
speech	150.8	152.34
noEnergy	152.34	153.16
noise	153.16	153.72
noEnergy	153.72	160.62
speech	160.62	161.5
noEnergy	161.5	161.94
noise	161.94	162.42000000000002
noEnergy	162.42000000000002	165.68
speech	165.68	166.94
noEnergy	166.94	167.36
speech	167.36	169.18
noEnergy	169.18	171.5
speech	171.5	172.82
noEnergy	172.82	173.56
speech	173.56	181.36
noEnergy	181.36	183.04
speech	183.04	183.74
noEnergy	183.74	184.3
speech	184.3	204.22
noEnergy	204.22	205.72
speech	205.72	206.78
noEnergy	206.78	209.82
speech	209.82	211.08
noEnergy	211.08	211.56
speech	211.56	214.16
noEnergy	214.16	222.68
speech	222.68	227.86
noEnergy	227.86	229.34
speech	229.34	232.64000000000001
noEnergy	232.64000000000001	233.34
speech	233.34	235.02
noEnergy	235.02	235.6
speech	235.6	236.96
noEnergy	236.96	237.78
speech	237.78	239.72
noEnergy	239.72	240.18
speech	240.18	248.48000000000002
noEnergy	248.48000000000002	250.0
speech	250.0	253.9
noEnergy	253.9	256.2
noise	256.2	256.7
noEnergy	256.7	257.1
speech	257.1	270.24
noEnergy	270.24	272.14
speech	272.14	274.5
noEnergy	274.5	275.32
speech	275.32	281.86
noEnergy	281.86	282.44
speech	282.44	288.32
noEnergy	288.32	289.96
noise	289.96	291.82
noEnergy	291.82	292.40000000000003
noise	292.40000000000003	294.56
noEnergy	294.56	298.1
speech	298.1	302.28000000000003
noEnergy	302.28000000000003	303.34000000000003
speech	303.34000000000003	308.36
noEnergy	308.36	308.78000000000003
speech	308.78000000000003	324.64
noEnergy	324.64	325.2
speech	325.2	328.14
noEnergy	328.14	328.90000000000003
speech	328.90000000000003	334.44
noEnergy	334.44	335.40000000000003
speech	335.40000000000003	337.8
noEnergy	337.8	339.68
speech	339.68	341.42
noise	341.42	342.88
noEnergy	342.88	343.84000000000003
noise	343.84000000000003	344.5
noEnergy	344.5	345.56
noise	345.56	346.26
noEnergy	346.26	352.62
noise	352.62	352.92
noEnergy	352.92	360.6
speech	360.6	361.74
noEnergy	361.74	362.40000000000003
noise	362.40000000000003	362.98
noEnergy	362.98	365.02
noise	365.02	366.14
noEnergy	366.14	373.84000000000003
speech	373.84000000000003	374.64
noEnergy	374.64	375.68
speech	375.68	378.58
noEnergy	378.58	381.58
speech	381.58	389.0
noEnergy	389.0	390.32
speech	390.32	394.32
noEnergy	394.32	395.76
speech	395.76	398.40000000000003
noEnergy	398.40000000000003	398.8
speech	398.8	407.18
noEnergy	407.18	410.02
speech	410.02	411.24
noEnergy	411.24	414.7
speech	414.7	415.28000000000003
noEnergy	415.28000000000003	416.48
speech	416.48	422.28000000000003
noEnergy	422.28000000000003	424.78000000000003
speech	424.78000000000003	426.54
noEnergy	426.54	427.04
speech	427.04	427.96000000000004
noEnergy	427.96000000000004	428.7
speech	428.7	433.54
noEnergy	433.54	433.98
speech	433.98	440.98
noEnergy	440.98	442.74
speech	442.74	448.90000000000003
