labels	start	stop
noise	0.0	5.82
speech	5.82	8.06
noise	8.06	15.66
speech	15.66	16.72
noise	16.72	19.6
speech	19.6	20.86
noise	20.86	24.02
speech	24.02	25.1
noise	25.1	30.560000000000002
speech	30.560000000000002	36.160000000000004
noise	36.160000000000004	49.1
speech	49.1	53.800000000000004
noise	53.800000000000004	62.980000000000004
speech	62.980000000000004	65.62
noise	65.62	68.28
speech	68.28	69.92
noise	69.92	75.76
speech	75.76	79.74
noise	79.74	96.32000000000001
speech	96.32000000000001	97.74000000000001
noise	97.74000000000001	118.52
speech	118.52	142.18
noise	142.18	144.36
speech	144.36	149.22
noise	149.22	156.84
speech	156.84	159.54
noise	159.54	165.70000000000002
speech	165.70000000000002	174.88
noise	174.88	177.56
speech	177.56	184.18
noise	184.18	187.12
speech	187.12	205.36
noise	205.36	208.92000000000002
speech	208.92000000000002	215.18
noise	215.18	223.08
speech	223.08	228.6
noise	228.6	232.86
speech	232.86	234.88
noise	234.88	249.26000000000002
speech	249.26000000000002	250.46
noise	250.46	253.78
speech	253.78	255.72
noise	255.72	260.62
speech	260.62	262.36
noise	262.36	273.96
speech	273.96	275.56
noise	275.56	285.6
speech	285.6	288.24
noise	288.24	297.66
speech	297.66	300.44
noise	300.44	304.2
speech	304.2	305.02
noise	305.02	307.82
speech	307.82	312.78000000000003
noise	312.78000000000003	315.74
speech	315.74	320.38
noise	320.38	322.8
speech	322.8	324.98
noise	324.98	333.28000000000003
speech	333.28000000000003	336.88
noise	336.88	349.58
speech	349.58	353.5
noise	353.5	370.8
speech	370.8	379.36
noise	379.36	394.88
speech	394.88	395.72
noise	395.72	403.58
speech	403.58	405.22
noise	405.22	412.78000000000003
speech	412.78000000000003	415.34000000000003
noise	415.34000000000003	417.46000000000004
speech	417.46000000000004	418.72
noise	418.72	438.34000000000003
speech	438.34000000000003	439.06
