labels	start	stop
speech	0.0	0.74
noise	0.74	19.84
speech	19.84	22.400000000000002
noise	22.400000000000002	54.32
speech	54.32	55.4
noise	55.4	66.6
speech	66.6	72.18
noise	72.18	82.14
speech	82.14	88.32000000000001
noise	88.32000000000001	98.74000000000001
speech	98.74000000000001	101.42
noise	101.42	105.42
speech	105.42	110.78
noise	110.78	114.28
speech	114.28	124.0
noise	124.0	128.42000000000002
speech	128.42000000000002	129.8
noise	129.8	134.92000000000002
speech	134.92000000000002	138.04
noise	138.04	141.66
speech	141.66	149.5
noise	149.5	155.94
speech	155.94	160.12
noise	160.12	163.3
speech	163.3	164.44
noise	164.44	179.3
speech	179.3	182.24
noise	182.24	215.96
speech	215.96	221.34
noise	221.34	228.1
speech	228.1	229.24
noise	229.24	231.4
speech	231.4	234.16
noise	234.16	252.78
speech	252.78	257.94
noise	257.94	281.68
speech	281.68	282.48
noise	282.48	287.38
speech	287.38	294.7
noise	294.7	343.44
speech	343.44	358.58
noise	358.58	365.6
speech	365.6	370.90000000000003
noise	370.90000000000003	424.68
speech	424.68	425.78000000000003
noise	425.78000000000003	448.90000000000003
