labels	start	stop
noise	0.0	7.0
speech	7.0	12.74
noise	12.74	18.48
speech	18.48	23.740000000000002
noise	23.740000000000002	25.34
speech	25.34	28.26
noise	28.26	29.84
speech	29.84	38.12
noise	38.12	43.32
speech	43.32	45.06
noise	45.06	50.54
speech	50.54	57.0
noise	57.0	58.92
speech	58.92	60.88
noise	60.88	66.2
speech	66.2	72.58
noise	72.58	77.02
speech	77.02	80.94
noise	80.94	83.32000000000001
speech	83.32000000000001	85.32000000000001
noise	85.32000000000001	92.28
speech	92.28	93.98
noise	93.98	96.96000000000001
speech	96.96000000000001	111.8
noise	111.8	117.06
speech	117.06	118.54
noise	118.54	122.12
speech	122.12	125.60000000000001
noise	125.60000000000001	128.3
speech	128.3	131.14000000000001
noise	131.14000000000001	136.74
speech	136.74	141.38
noise	141.38	144.28
speech	144.28	145.74
noise	145.74	148.26
speech	148.26	152.8
noise	152.8	155.08
speech	155.08	156.92000000000002
noise	156.92000000000002	160.1
speech	160.1	165.6
noise	165.6	173.08
speech	173.08	178.5
noise	178.5	180.56
speech	180.56	184.5
noise	184.5	200.24
speech	200.24	209.04
noise	209.04	211.1
speech	211.1	219.98000000000002
noise	219.98000000000002	221.74
speech	221.74	224.4
noise	224.4	232.68
speech	232.68	236.22
noise	236.22	241.54
speech	241.54	242.92000000000002
noise	242.92000000000002	245.70000000000002
speech	245.70000000000002	257.06
noise	257.06	260.06
speech	260.06	262.68
noise	262.68	264.66
speech	264.66	265.74
noise	265.74	267.34000000000003
speech	267.34000000000003	273.74
noise	273.74	278.2
speech	278.2	285.74
noise	285.74	288.62
speech	288.62	293.7
noise	293.7	295.8
speech	295.8	299.04
noise	299.04	300.76
speech	300.76	305.04
noise	305.04	310.06
speech	310.06	311.82
noise	311.82	322.92
speech	322.92	330.64
noise	330.64	332.86
speech	332.86	340.0
noise	340.0	343.96
speech	343.96	356.28000000000003
noise	356.28000000000003	361.58
speech	361.58	385.36
noise	385.36	387.14
speech	387.14	388.28000000000003
noise	388.28000000000003	390.02
speech	390.02	405.6
noise	405.6	408.26
speech	408.26	414.0
noise	414.0	416.18
speech	416.18	421.68
noise	421.68	433.04
speech	433.04	434.34000000000003
noise	434.34000000000003	438.2
speech	438.2	450.76
noise	450.76	461.14
speech	461.14	463.12
noise	463.12	472.1
speech	472.1	473.64
noise	473.64	483.64
speech	483.64	484.54
noise	484.54	488.02
speech	488.02	491.92
noise	491.92	494.56
speech	494.56	496.8
noise	496.8	516.0
speech	516.0	519.32
noise	519.32	532.4
speech	532.4	533.3
noise	533.3	536.9
speech	536.9	538.44
noise	538.44	544.12
speech	544.12	550.32
noise	550.32	574.2
speech	574.2	576.2
noise	576.2	595.1800000000001
speech	595.1800000000001	597.08
noise	597.08	599.86
speech	599.86	601.02
noise	601.02	607.02
