labels	start	stop
noise	0.0	1.56
speech	1.56	4.54
noise	4.54	10.3
noEnergy	10.3	10.8
speech	10.8	14.98
noise	14.98	38.78
speech	38.78	42.02
noise	42.02	73.06
speech	73.06	75.9
noise	75.9	76.94
music	76.94	78.38
noise	78.38	83.44
speech	83.44	88.76
music	88.76	91.8
speech	91.8	109.12
noise	109.12	119.68
noEnergy	119.68	120.84
noise	120.84	122.04
noEnergy	122.04	122.8
noise	122.8	123.3
noEnergy	123.3	125.04
speech	125.04	131.8
music	131.8	135.66
noise	135.66	156.0
speech	156.0	174.16
noise	174.16	182.06
speech	182.06	205.56
noise	205.56	213.56
speech	213.56	218.06
noise	218.06	228.3
speech	228.3	229.64000000000001
noise	229.64000000000001	240.34
speech	240.34	244.20000000000002
noise	244.20000000000002	251.82
speech	251.82	253.56
noise	253.56	258.8
speech	258.8	262.4
noise	262.4	298.28000000000003
speech	298.28000000000003	302.76
noise	302.76	322.86
speech	322.86	332.56
music	332.56	337.5
speech	337.5	339.32
noise	339.32	362.38
speech	362.38	363.58
noise	363.58	390.74
speech	390.74	398.7
noise	398.7	405.64
speech	405.64	408.88
noise	408.88	416.46000000000004
speech	416.46000000000004	420.88
noise	420.88	429.12
speech	429.12	430.76
noise	430.76	432.88
speech	432.88	440.84000000000003
noise	440.84000000000003	457.58
speech	457.58	462.40000000000003
noise	462.40000000000003	474.26
speech	474.26	479.18
noise	479.18	494.3
speech	494.3	496.06
noise	496.06	498.66
noEnergy	498.66	504.12
noise	504.12	504.98
speech	504.98	507.68
noise	507.68	528.9
noEnergy	528.9	529.48
noise	529.48	535.48
speech	535.48	549.72
noise	549.72	574.6800000000001
speech	574.6800000000001	583.08
noise	583.08	606.28
speech	606.28	607.02
