labels	start	stop
noEnergy	0.0	1.1400000000000001
noise	1.1400000000000001	1.52
noEnergy	1.52	2.2
noise	2.2	3.38
noEnergy	3.38	4.12
speech	4.12	4.86
noEnergy	4.86	5.92
speech	5.92	8.3
noise	8.3	13.48
noEnergy	13.48	20.6
noise	20.6	22.92
noEnergy	22.92	24.080000000000002
noise	24.080000000000002	28.1
noEnergy	28.1	34.02
noise	34.02	36.480000000000004
speech	36.480000000000004	39.88
noise	39.88	44.14
noEnergy	44.14	47.64
speech	47.64	48.52
noEnergy	48.52	50.92
noise	50.92	51.32
noEnergy	51.32	58.36
noise	58.36	59.42
noEnergy	59.42	60.84
speech	60.84	61.800000000000004
noise	61.800000000000004	68.18
noEnergy	68.18	70.46000000000001
noise	70.46000000000001	72.34
noEnergy	72.34	74.76
noise	74.76	75.28
noEnergy	75.28	80.68
speech	80.68	82.08
noise	82.08	83.02
noEnergy	83.02	87.0
noise	87.0	89.24
noEnergy	89.24	92.54
noise	92.54	94.3
speech	94.3	109.52
noise	109.52	117.24000000000001
speech	117.24000000000001	119.0
noEnergy	119.0	119.74000000000001
noise	119.74000000000001	122.74000000000001
noEnergy	122.74000000000001	123.3
noise	123.3	126.22
noEnergy	126.22	126.98
noise	126.98	144.48
speech	144.48	146.88
noise	146.88	151.48
speech	151.48	155.88
noise	155.88	159.14000000000001
speech	159.14000000000001	168.86
noise	168.86	173.5
speech	173.5	176.12
noise	176.12	181.96
noEnergy	181.96	183.9
noise	183.9	194.54
speech	194.54	196.52
noise	196.52	200.42000000000002
noEnergy	200.42000000000002	202.68
noise	202.68	203.22
noEnergy	203.22	205.98000000000002
music	205.98000000000002	207.76
noEnergy	207.76	208.84
speech	208.84	213.08
noise	213.08	216.02
noEnergy	216.02	216.48000000000002
noise	216.48000000000002	217.72
speech	217.72	220.04
noise	220.04	223.64000000000001
noEnergy	223.64000000000001	224.82
speech	224.82	229.94
noise	229.94	232.1
noEnergy	232.1	234.72
noise	234.72	237.04
speech	237.04	246.86
noEnergy	246.86	248.46
speech	248.46	260.3
noise	260.3	262.2
noEnergy	262.2	266.98
noise	266.98	267.7
noEnergy	267.7	269.02
music	269.02	270.08
noEnergy	270.08	272.04
noise	272.04	272.32
noEnergy	272.32	276.7
noise	276.7	281.64
noEnergy	281.64	282.90000000000003
speech	282.90000000000003	288.96
noEnergy	288.96	291.56
speech	291.56	292.3
noEnergy	292.3	293.8
noise	293.8	296.48
noEnergy	296.48	301.8
music	301.8	302.56
noEnergy	302.56	312.0
noise	312.0	313.0
noEnergy	313.0	318.34000000000003
noise	318.34000000000003	319.32
noEnergy	319.32	320.22
speech	320.22	324.66
noEnergy	324.66	325.84000000000003
speech	325.84000000000003	335.54
noEnergy	335.54	337.04
speech	337.04	342.58
noEnergy	342.58	343.28000000000003
noise	343.28000000000003	344.88
noEnergy	344.88	345.72
speech	345.72	350.0
noEnergy	350.0	352.64
noise	352.64	353.0
noEnergy	353.0	356.6
noise	356.6	357.90000000000003
noEnergy	357.90000000000003	362.94
speech	362.94	365.42
noEnergy	365.42	369.06
speech	369.06	371.3
noEnergy	371.3	374.38
speech	374.38	379.94
noEnergy	379.94	382.04
speech	382.04	383.2
noEnergy	383.2	385.44
speech	385.44	387.14
noise	387.14	390.0
noEnergy	390.0	392.34000000000003
speech	392.34000000000003	407.62
noise	407.62	414.34000000000003
speech	414.34000000000003	439.2
noise	439.2	443.28000000000003
noEnergy	443.28000000000003	444.22
noise	444.22	445.84000000000003
noEnergy	445.84000000000003	447.32
speech	447.32	482.6
noise	482.6	484.06
noEnergy	484.06	484.46000000000004
speech	484.46000000000004	487.0
noise	487.0	490.34000000000003
noEnergy	490.34000000000003	491.02
noise	491.02	492.08
speech	492.08	493.88
noEnergy	493.88	495.02000000000004
