labels	start	stop
noise	0.0	6.76
speech	6.76	9.700000000000001
noise	9.700000000000001	13.040000000000001
speech	13.040000000000001	17.62
noise	17.62	24.42
speech	24.42	30.3
noise	30.3	37.980000000000004
speech	37.980000000000004	49.68
noise	49.68	53.480000000000004
speech	53.480000000000004	58.14
noise	58.14	62.620000000000005
speech	62.620000000000005	66.06
noise	66.06	72.88
speech	72.88	73.96000000000001
noise	73.96000000000001	85.08
speech	85.08	87.36
noise	87.36	90.58
speech	90.58	103.32000000000001
noise	103.32000000000001	107.52
speech	107.52	108.60000000000001
noise	108.60000000000001	111.46000000000001
speech	111.46000000000001	114.42
noise	114.42	124.34
speech	124.34	126.2
noise	126.2	127.8
speech	127.8	132.3
noise	132.3	134.92000000000002
speech	134.92000000000002	136.8
noise	136.8	138.38
speech	138.38	144.18
noise	144.18	155.82
speech	155.82	160.70000000000002
noise	160.70000000000002	167.64000000000001
speech	167.64000000000001	168.62
noise	168.62	173.46
speech	173.46	174.72
noise	174.72	179.26
speech	179.26	180.42000000000002
noise	180.42000000000002	184.82
speech	184.82	186.04
noise	186.04	199.5
speech	199.5	207.78
noise	207.78	209.42000000000002
speech	209.42000000000002	213.68
noise	213.68	216.08
speech	216.08	217.52
noise	217.52	222.18
speech	222.18	229.22
noise	229.22	232.4
speech	232.4	233.42000000000002
noise	233.42000000000002	239.38
speech	239.38	245.48000000000002
noise	245.48000000000002	250.64000000000001
speech	250.64000000000001	253.66
noise	253.66	256.0
speech	256.0	260.06
noise	260.06	263.46
speech	263.46	265.8
noise	265.8	267.18
speech	267.18	270.6
noise	270.6	274.32
speech	274.32	276.1
noise	276.1	280.72
speech	280.72	286.92
noise	286.92	290.62
speech	290.62	292.56
noise	292.56	302.84000000000003
speech	302.84000000000003	304.22
noise	304.22	305.76
speech	305.76	309.44
noise	309.44	311.74
speech	311.74	319.28000000000003
noise	319.28000000000003	330.56
speech	330.56	331.72
noise	331.72	338.82
speech	338.82	344.2
noise	344.2	347.04
speech	347.04	349.12
noise	349.12	354.44
speech	354.44	363.68
noise	363.68	365.82
speech	365.82	369.98
noise	369.98	371.62
speech	371.62	372.62
noise	372.62	377.04
speech	377.04	381.48
noise	381.48	392.34000000000003
speech	392.34000000000003	394.6
noise	394.6	396.32
speech	396.32	398.22
noise	398.22	400.14
speech	400.14	404.52
noise	404.52	416.84000000000003
speech	416.84000000000003	417.90000000000003
noise	417.90000000000003	419.78000000000003
speech	419.78000000000003	421.08
noise	421.08	423.14
speech	423.14	432.5
noise	432.5	436.84000000000003
speech	436.84000000000003	448.90000000000003
noise	448.90000000000003	455.98
speech	455.98	463.88
noise	463.88	469.08
speech	469.08	471.28000000000003
noise	471.28000000000003	479.66
speech	479.66	483.34000000000003
noise	483.34000000000003	491.56
speech	491.56	497.68
noise	497.68	506.06
speech	506.06	516.4
noise	516.4	519.78
speech	519.78	528.82
noise	528.82	530.6
speech	530.6	532.42
noise	532.42	534.82
speech	534.82	543.96
noise	543.96	545.62
speech	545.62	551.82
noise	551.82	554.02
speech	554.02	555.76
noise	555.76	558.8000000000001
speech	558.8000000000001	562.54
noise	562.54	564.64
speech	564.64	569.46
noise	569.46	571.64
speech	571.64	577.62
noise	577.62	585.34
speech	585.34	592.22
noise	592.22	597.5600000000001
speech	597.5600000000001	599.1800000000001
noise	599.1800000000001	601.54
speech	601.54	603.98
noise	603.98	607.02
