labels	start	stop
noise	0.0	12.82
speech	12.82	25.32
noise	25.32	35.62
speech	35.62	38.300000000000004
noise	38.300000000000004	67.26
speech	67.26	80.0
noise	80.0	82.18
speech	82.18	92.46000000000001
noise	92.46000000000001	101.88
speech	101.88	105.44
noise	105.44	110.82000000000001
speech	110.82000000000001	130.4
noise	130.4	149.34
music	149.34	152.5
noise	152.5	198.08
speech	198.08	208.22
noise	208.22	214.08
speech	214.08	217.0
noise	217.0	220.94
speech	220.94	224.84
noise	224.84	235.72
speech	235.72	240.9
noise	240.9	246.16
speech	246.16	253.3
noise	253.3	261.3
speech	261.3	278.7
noise	278.7	280.66
speech	280.66	284.24
noise	284.24	290.8
speech	290.8	294.06
noise	294.06	295.78000000000003
speech	295.78000000000003	310.34000000000003
noise	310.34000000000003	337.44
speech	337.44	338.46
noise	338.46	345.26
speech	345.26	346.52
noise	346.52	363.3
speech	363.3	364.48
noise	364.48	373.76
speech	373.76	374.90000000000003
noise	374.90000000000003	379.22
speech	379.22	394.02
noise	394.02	411.36
speech	411.36	412.56
noise	412.56	440.72
speech	440.72	447.72
noise	447.72	483.28000000000003
speech	483.28000000000003	484.38
noise	484.38	494.16
speech	494.16	495.02000000000004
