labels	start	stop
noise	0.0	3.24
speech	3.24	24.92
noise	24.92	38.96
speech	38.96	45.54
noise	45.54	51.5
speech	51.5	56.84
noise	56.84	60.06
speech	60.06	81.78
noise	81.78	93.52
speech	93.52	95.98
noise	95.98	111.62
speech	111.62	127.14
noise	127.14	129.22
speech	129.22	138.78
noise	138.78	186.32
speech	186.32	197.0
noise	197.0	204.84
speech	204.84	207.76
noise	207.76	212.42000000000002
speech	212.42000000000002	223.98000000000002
noise	223.98000000000002	228.76
speech	228.76	231.24
noise	231.24	234.74
speech	234.74	245.74
noise	245.74	249.48000000000002
speech	249.48000000000002	251.56
noise	251.56	260.82
speech	260.82	263.82
noise	263.82	269.62
speech	269.62	296.3
noise	296.3	302.88
speech	302.88	303.88
noise	303.88	306.02
speech	306.02	313.54
noise	313.54	323.0
speech	323.0	325.74
noise	325.74	336.78000000000003
speech	336.78000000000003	345.86
noise	345.86	349.42
speech	349.42	360.7
noise	360.7	363.56
speech	363.56	376.52
noise	376.52	395.40000000000003
speech	395.40000000000003	398.02
noise	398.02	401.36
speech	401.36	404.40000000000003
noise	404.40000000000003	406.24
speech	406.24	409.46000000000004
noise	409.46000000000004	422.76
speech	422.76	427.90000000000003
noise	427.90000000000003	469.98
speech	469.98	473.5
noise	473.5	476.68
speech	476.68	485.74
noise	485.74	504.3
speech	504.3	506.62
noise	506.62	509.04
speech	509.04	513.0600000000001
noise	513.0600000000001	538.72
speech	538.72	545.38
noise	545.38	548.46
speech	548.46	560.46
noise	560.46	585.84
speech	585.84	588.16
noise	588.16	594.04
speech	594.04	597.5600000000001
noise	597.5600000000001	607.52
speech	607.52	634.1800000000001
noise	634.1800000000001	637.46
speech	637.46	644.98
noise	644.98	685.22
speech	685.22	705.14
noise	705.14	720.52
speech	720.52	725.44
noise	725.44	738.4
speech	738.4	743.26
noise	743.26	747.1
speech	747.1	760.48
noise	760.48	762.6800000000001
speech	762.6800000000001	766.6
noise	766.6	797.4200000000001
