labels	start	stop
noise	0.0	128.72
speech	128.72	130.28
noise	130.28	141.54
speech	141.54	186.4
noise	186.4	197.46
speech	197.46	208.56
noise	208.56	298.04
speech	298.04	302.88
noise	302.88	314.74
speech	314.74	316.12
noise	316.12	545.96
speech	545.96	548.14
noise	548.14	561.48
speech	561.48	583.1
noise	583.1	589.16
speech	589.16	594.1
noise	594.1	595.84
speech	595.84	597.5
noise	597.5	599.98
speech	599.98	605.6800000000001
noise	605.6800000000001	761.76
speech	761.76	784.16
noise	784.16	797.4200000000001
