labels	start	stop
noise	0.0	1.96
speech	1.96	33.38
noise	33.38	36.800000000000004
speech	36.800000000000004	86.8
noise	86.8	89.02
speech	89.02	96.28
noise	96.28	99.0
speech	99.0	209.18
noise	209.18	212.74
speech	212.74	232.26
noise	232.26	234.9
speech	234.9	252.08
noise	252.08	260.96
speech	260.96	317.24
noise	317.24	323.78000000000003
speech	323.78000000000003	326.12
noise	326.12	337.08
speech	337.08	347.68
noise	347.68	349.72
speech	349.72	486.36
noise	486.36	495.04
speech	495.04	534.02
noise	534.02	539.0600000000001
speech	539.0600000000001	645.1800000000001
noise	645.1800000000001	653.78
speech	653.78	665.4
noise	665.4	682.14
speech	682.14	784.5600000000001
noise	784.5600000000001	793.22
speech	793.22	797.4200000000001
