, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz,mouth,y,y_pre_label
1,0.056,0.003,14.0,29.9,467.9,-0.28,-0.077,0.033,4.2,1,1
2,0.061,0.003,14.0,30.1,469.4,-0.285,-0.076,0.033,4.0,1,1
3,0.052,0.002,13.9,30.2,467.3,-0.281,-0.077,0.035,4.2,1,1
4,0.049,0.017,13.9,30.3,466.9,-0.277,-0.074,0.035,4.2,1,1
5,0.053,0.019,13.9,30.4,466.4,-0.272,-0.072,0.035,4.2,1,1
6,0.055,0.008,14.0,30.6,467.1,-0.272,-0.072,0.035,4.2,1,1
7,0.055,0.007,14.0,30.6,466.7,-0.271,-0.071,0.033,4.2,1,1
8,0.059,-0.0,14.0,30.7,466.5,-0.268,-0.071,0.033,4.5,1,1
9,0.058,-0.001,14.0,30.8,467.1,-0.268,-0.069,0.033,4.3,1,1
10,0.059,-0.005,14.0,30.8,466.5,-0.265,-0.069,0.033,4.2,1,1
11,0.069,-0.007,14.0,30.9,466.9,-0.264,-0.069,0.032,4.4,1,1
12,0.066,0.013,13.9,31.0,466.2,-0.254,-0.066,0.032,4.5,1,1
13,0.059,0.016,13.9,31.2,466.3,-0.254,-0.067,0.032,4.3,1,1
14,0.049,0.026,13.9,31.4,466.7,-0.252,-0.064,0.033,4.2,1,1
15,0.047,0.03,13.8,31.6,467.4,-0.252,-0.062,0.033,3.8,1,1
16,0.048,0.028,13.7,31.8,467.3,-0.252,-0.064,0.034,3.9,1,1
17,0.05,0.029,13.7,32.0,467.7,-0.25,-0.061,0.033,3.7,1,1
18,0.058,0.025,13.5,32.0,466.0,-0.249,-0.06,0.033,4.0,1,1
19,0.051,0.025,13.5,32.1,467.3,-0.249,-0.058,0.031,4.0,1,1
20,0.044,0.027,13.4,32.2,468.2,-0.254,-0.057,0.031,3.8,1,1
21,0.05,0.036,13.2,32.2,465.5,-0.243,-0.057,0.032,4.0,1,1
22,0.056,0.032,13.1,32.2,465.2,-0.246,-0.057,0.032,4.1,1,1
23,0.057,0.035,13.0,32.3,465.8,-0.244,-0.057,0.031,4.1,1,1
24,0.057,0.032,12.9,32.4,466.0,-0.249,-0.056,0.031,4.1,1,1
25,0.055,0.032,12.8,32.4,466.0,-0.246,-0.056,0.031,4.2,1,1
26,0.056,0.026,12.7,32.5,466.1,-0.246,-0.057,0.031,4.1,1,1
27,0.03,0.024,12.6,32.5,464.9,-0.241,-0.058,0.031,4.2,1,1
28,0.027,0.031,12.7,32.5,468.6,-0.244,-0.057,0.028,3.8,1,1
29,0.025,0.04,12.6,32.5,465.9,-0.237,-0.057,0.03,4.1,1,1
30,0.023,0.043,12.5,32.4,465.5,-0.232,-0.055,0.029,4.0,1,1
31,0.028,0.039,12.5,32.4,465.7,-0.237,-0.055,0.029,4.1,1,1
32,0.018,0.043,12.5,32.4,465.8,-0.234,-0.054,0.029,3.9,1,1
33,0.021,0.04,12.4,32.4,466.0,-0.236,-0.054,0.029,4.0,1,1
34,0.022,0.039,12.4,32.3,465.6,-0.236,-0.053,0.029,4.0,1,1
35,0.028,0.036,12.4,32.3,465.7,-0.238,-0.054,0.029,4.1,1,1
36,0.032,0.035,12.3,32.3,465.8,-0.238,-0.052,0.028,4.1,1,1
37,0.032,0.036,12.2,32.3,465.4,-0.235,-0.051,0.028,4.3,1,1
38,0.031,0.041,12.2,32.2,465.8,-0.235,-0.05,0.028,4.1,1,1
39,0.027,0.045,12.1,32.1,465.4,-0.235,-0.049,0.028,4.0,1,1
40,0.029,0.06,12.2,32.2,466.3,-0.238,-0.05,0.027,3.7,1,1
41,0.038,0.089,12.3,32.4,465.2,-0.229,-0.053,0.028,3.6,1,1
42,0.047,0.108,12.2,32.3,465.4,-0.228,-0.053,0.026,3.6,1,1
43,0.005,0.103,12.2,32.3,469.3,-0.237,-0.051,0.025,3.2,1,1
44,0.042,0.049,12.1,32.2,468.6,-0.241,-0.053,0.025,3.6,1,1
45,0.044,0.034,11.9,32.0,465.9,-0.234,-0.053,0.026,3.9,1,1
46,0.05,0.019,11.6,32.0,465.4,-0.237,-0.053,0.027,3.9,1,1
47,0.041,0.026,11.5,31.9,466.0,-0.234,-0.051,0.026,4.1,1,1
48,0.042,0.02,11.4,31.9,466.4,-0.237,-0.05,0.026,4.0,1,1
49,0.047,0.022,11.3,31.7,466.1,-0.232,-0.049,0.026,4.0,1,1
50,0.038,0.018,11.3,31.7,466.0,-0.235,-0.049,0.026,4.1,1,1
51,0.037,0.014,11.2,31.6,466.2,-0.233,-0.049,0.025,4.0,1,1
52,0.039,0.018,11.1,31.6,466.4,-0.237,-0.05,0.026,4.1,1,1
53,0.071,0.014,11.0,31.6,466.6,-0.238,-0.048,0.026,4.2,1,1
54,0.071,-0.003,10.9,31.6,466.3,-0.239,-0.048,0.025,4.1,1,1
55,0.077,-0.008,10.8,31.7,466.6,-0.242,-0.047,0.024,4.2,1,1
56,0.076,-0.006,10.7,31.6,466.2,-0.236,-0.048,0.024,4.2,1,1
57,0.074,-0.008,10.7,31.7,466.5,-0.234,-0.049,0.024,4.2,1,1
58,0.064,-0.008,10.7,31.7,466.4,-0.235,-0.051,0.025,4.2,1,1
59,0.03,-0.01,10.6,31.7,466.6,-0.236,-0.051,0.024,4.1,1,1
60,0.015,-0.02,10.6,31.5,466.4,-0.238,-0.053,0.024,3.6,1,1
61,0.052,-0.014,10.7,31.5,466.6,-0.241,-0.053,0.025,3.7,1,1
62,0.072,-0.012,10.7,31.5,466.3,-0.242,-0.053,0.025,3.8,1,1
63,0.087,-0.031,10.7,31.6,465.7,-0.24,-0.055,0.026,3.8,1,1
64,0.091,-0.025,10.7,31.7,467.4,-0.24,-0.056,0.026,3.9,1,1
65,0.098,-0.019,10.7,32.0,466.8,-0.23,-0.055,0.027,3.6,1,1
66,0.088,-0.016,10.7,32.3,467.7,-0.228,-0.057,0.027,3.5,1,1
67,0.092,-0.018,10.9,32.5,466.9,-0.225,-0.059,0.025,3.6,1,1
68,0.098,-0.017,10.9,32.7,467.0,-0.226,-0.058,0.024,3.7,1,1
69,0.095,-0.025,11.0,32.7,466.8,-0.229,-0.06,0.024,3.6,1,1
70,0.067,-0.02,11.1,32.6,466.6,-0.229,-0.062,0.022,3.6,1,1
71,0.037,-0.013,11.2,32.5,466.5,-0.231,-0.062,0.022,3.5,1,1
72,0.04,-0.014,11.4,32.5,466.3,-0.233,-0.062,0.02,3.6,1,1
73,0.046,-0.015,11.5,32.5,465.7,-0.228,-0.061,0.02,3.7,1,1
74,0.053,-0.022,11.8,32.5,466.0,-0.228,-0.06,0.021,3.7,1,1
75,0.044,-0.009,12.2,32.7,467.5,-0.228,-0.058,0.022,3.7,1,1
76,0.048,-0.002,12.6,32.7,467.0,-0.224,-0.057,0.021,3.5,1,1
77,0.052,0.004,12.9,32.9,466.4,-0.221,-0.058,0.023,3.7,1,1
78,0.064,0.01,13.2,33.1,465.8,-0.217,-0.059,0.025,3.8,1,1
79,0.061,0.0,13.5,33.3,466.3,-0.218,-0.059,0.024,3.8,1,1
80,0.05,0.013,13.6,33.5,465.7,-0.214,-0.056,0.025,3.9,1,1
81,0.045,0.013,13.7,33.6,466.3,-0.22,-0.058,0.026,3.8,1,1
82,0.033,0.018,13.9,33.6,465.3,-0.217,-0.054,0.026,4.0,1,1
83,0.025,0.023,14.0,33.7,466.5,-0.217,-0.053,0.023,3.9,1,1
84,0.029,0.017,14.1,33.7,466.0,-0.215,-0.05,0.024,3.9,1,1
85,0.033,0.016,14.2,33.8,466.8,-0.218,-0.049,0.023,3.9,1,1
86,0.037,0.01,14.2,33.8,466.3,-0.221,-0.051,0.024,3.9,1,1
87,0.034,0.015,14.3,33.8,466.2,-0.217,-0.05,0.025,3.9,1,1
88,0.043,0.017,14.4,33.9,466.3,-0.214,-0.049,0.027,4.1,1,1
89,0.032,0.031,14.4,34.1,465.8,-0.207,-0.048,0.028,4.0,1,1
90,0.05,0.004,14.5,34.5,466.3,-0.207,-0.049,0.028,3.8,1,1
91,0.042,0.016,14.5,35.1,465.7,-0.194,-0.047,0.029,3.8,1,1
92,0.039,0.009,14.4,36.3,466.8,-0.172,-0.05,0.03,3.8,1,1
93,0.048,0.037,14.3,37.5,466.0,-0.139,-0.044,0.027,3.9,1,1
94,0.042,0.083,14.1,38.4,464.8,-0.129,-0.043,0.029,3.3,1,1
95,0.041,0.076,13.9,39.1,465.9,-0.117,-0.041,0.027,3.5,1,1
96,0.031,0.062,13.8,39.9,465.3,-0.101,-0.036,0.027,3.5,1,1
97,0.042,0.094,13.6,40.5,464.5,-0.092,-0.038,0.028,3.6,1,1
98,0.029,0.087,13.6,40.9,464.7,-0.084,-0.036,0.029,3.8,1,1
99,0.049,0.088,13.5,41.2,463.4,-0.077,-0.037,0.029,3.6,1,1
100,0.044,0.105,13.5,41.6,462.2,-0.064,-0.037,0.029,3.7,1,1
101,0.03,0.135,13.5,41.7,462.0,-0.059,-0.035,0.028,3.6,1,1
102,0.03,0.121,13.4,41.8,462.0,-0.061,-0.036,0.029,3.7,1,1
103,0.038,0.126,13.3,41.6,460.4,-0.059,-0.033,0.029,3.6,1,1
